"sampleID","cell_type"
"cell_206","patient2","Tcell"
"cell_207","patient2","Tcell"
"cell_208","patient2","Tcell"
"cell_209","patient2","Tcell"
"cell_210","patient2","Tcell"
"cell_211","patient2","Tcell"
"cell_212","patient2","Tcell"
"cell_213","patient2","Tcell"
"cell_214","patient2","Tcell"
"cell_215","patient2","Tcell"
"cell_216","patient2","Tcell"
"cell_217","patient2","Tcell"
"cell_218","patient2","Tcell"
"cell_219","patient2","malignant"
"cell_220","patient2","malignant"
"cell_221","patient2","Tcell"
"cell_222","patient2","Tcell"
"cell_223","patient2","Tcell"
"cell_224","patient2","Tcell"
"cell_225","patient2","Tcell"
"cell_226","patient2","Tcell"
"cell_227","patient2","Tcell"
"cell_228","patient2","Tcell"
"cell_229","patient2","Tcell"
"cell_230","patient2","malignant"
"cell_231","patient2","Tcell"
"cell_232","patient2","Tcell"
"cell_233","patient2","NK"
"cell_234","patient2","Tcell"
"cell_235","patient2","malignant"
"cell_236","patient2","Macro"
"cell_237","patient2","Tcell"
"cell_238","patient2","Tcell"
"cell_239","patient2","malignant"
"cell_240","patient2","Tcell"
"cell_241","patient2","Tcell"
"cell_242","patient2","Tcell"
"cell_243","patient2","Tcell"
"cell_244","patient2","Tcell"
"cell_245","patient2","Tcell"
"cell_246","patient2","Tcell"
"cell_247","patient2","Tcell"
"cell_248","patient2","Tcell"
"cell_249","patient2","Tcell"
"cell_250","patient2","Tcell"
"cell_251","patient2","Tcell"
"cell_252","patient2","Tcell"
"cell_253","patient2","Tcell"
"cell_254","patient2","Bcell"
"cell_255","patient2","Tcell"
"cell_256","patient2","Tcell"
"cell_257","patient2","Tcell"
"cell_258","patient2","Tcell"
"cell_259","patient2","Tcell"
"cell_260","patient2","Tcell"
"cell_261","patient2","Tcell"
"cell_262","patient2","malignant"
"cell_263","patient2","Tcell"
"cell_264","patient2","Tcell"
"cell_265","patient2","Tcell"
"cell_266","patient2","Tcell"
"cell_267","patient2","Macro"
"cell_268","patient2","Tcell"
"cell_269","patient2","Tcell"
"cell_270","patient2","Bcell"
"cell_271","patient2","Tcell"
"cell_272","patient2","Tcell"
"cell_273","patient2","Tcell"
"cell_274","patient2","Tcell"
"cell_275","patient2","Tcell"
"cell_276","patient2","Tcell"
"cell_277","patient2","Tcell"
"cell_278","patient2","Tcell"
"cell_279","patient2","Tcell"
"cell_280","patient2","Tcell"
"cell_281","patient2","malignant"
"cell_282","patient2","Tcell"
"cell_283","patient2","malignant"
"cell_284","patient2","Tcell"
"cell_285","patient2","Tcell"
"cell_286","patient3","malignant"
"cell_287","patient3","malignant"
"cell_288","patient3","malignant"
"cell_289","patient3","malignant"
"cell_290","patient3","CAF"
"cell_291","patient3","malignant"
"cell_292","patient3","CAF"
"cell_293","patient3","malignant"
"cell_294","patient3","malignant"
"cell_295","patient3","malignant"
"cell_296","patient3","malignant"
"cell_297","patient3","malignant"
"cell_298","patient3","malignant"
"cell_299","patient3","malignant"
"cell_300","patient3","malignant"
"cell_301","patient3","malignant"
"cell_302","patient3","CAF"
"cell_303","patient3","malignant"
"cell_304","patient3","malignant"
"cell_305","patient3","malignant"
"cell_306","patient3","malignant"
"cell_307","patient3","malignant"
"cell_308","patient3","malignant"
"cell_309","patient3","malignant"
"cell_310","patient3","malignant"
"cell_311","patient3","malignant"
"cell_312","patient3","malignant"
"cell_313","patient3","malignant"
"cell_314","patient3","malignant"
"cell_315","patient3","malignant"
"cell_316","patient3","malignant"
"cell_317","patient3","CAF"
"cell_318","patient3","malignant"
"cell_319","patient3","malignant"
"cell_320","patient3","CAF"
"cell_321","patient3","malignant"
"cell_322","patient3","malignant"
"cell_323","patient3","malignant"
"cell_324","patient3","malignant"
"cell_325","patient3","malignant"
"cell_326","patient3","malignant"
"cell_327","patient3","malignant"
"cell_328","patient3","malignant"
"cell_329","patient3","malignant"
"cell_330","patient3","malignant"
"cell_331","patient3","malignant"
"cell_332","patient3","malignant"
"cell_333","patient3","malignant"
"cell_334","patient3","malignant"
"cell_335","patient3","malignant"
"cell_336","patient3","malignant"
"cell_337","patient3","malignant"
"cell_338","patient3","malignant"
"cell_339","patient3","malignant"
"cell_340","patient3","CAF"
"cell_341","patient3","malignant"
"cell_342","patient3","malignant"
"cell_343","patient3","Macro"
"cell_344","patient3","malignant"
"cell_345","patient3","malignant"
"cell_346","patient3","malignant"
"cell_347","patient3","malignant"
"cell_348","patient3","malignant"
"cell_349","patient3","malignant"
"cell_350","patient3","malignant"
"cell_351","patient3","malignant"
"cell_352","patient3","malignant"
"cell_353","patient3","malignant"
"cell_354","patient3","CAF"
"cell_355","patient3","malignant"
"cell_356","patient4","malignant"
"cell_357","patient4","Macro"
"cell_358","patient4","malignant"
"cell_359","patient4","Tcell"
"cell_360","patient4","malignant"
"cell_361","patient4","malignant"
"cell_362","patient4","malignant"
"cell_363","patient4","Bcell"
"cell_364","patient4","Tcell"
"cell_365","patient4","Tcell"
"cell_366","patient4","Tcell"
"cell_367","patient4","Tcell"
"cell_368","patient4","Tcell"
"cell_369","patient4","Bcell"
"cell_370","patient4","Tcell"
"cell_371","patient4","Tcell"
"cell_372","patient4","Tcell"
"cell_373","patient4","Tcell"
"cell_374","patient4","malignant"
"cell_375","patient4","Bcell"
"cell_376","patient4","Tcell"
"cell_377","patient4","malignant"
"cell_378","patient4","Tcell"
"cell_379","patient4","Tcell"
"cell_380","patient4","Tcell"
"cell_381","patient4","Tcell"
"cell_382","patient4","Tcell"
"cell_383","patient4","Tcell"
"cell_384","patient4","Tcell"
"cell_385","patient4","Tcell"
"cell_386","patient4","Tcell"
"cell_387","patient4","malignant"
"cell_388","patient4","malignant"
"cell_389","patient4","Tcell"
"cell_390","patient4","Tcell"
"cell_391","patient4","Tcell"
"cell_392","patient4","Tcell"
"cell_393","patient4","Tcell"
"cell_394","patient4","Tcell"
"cell_395","patient4","Tcell"
"cell_396","patient4","malignant"
"cell_397","patient4","Bcell"
"cell_398","patient4","Tcell"
"cell_399","patient4","malignant"
"cell_400","patient4","malignant"
"cell_401","patient4","Tcell"
"cell_402","patient4","Tcell"
"cell_403","patient4","malignant"
"cell_404","patient4","Bcell"
"cell_405","patient4","Tcell"
"cell_406","patient4","Tcell"
"cell_407","patient4","Tcell"
"cell_408","patient4","Tcell"
"cell_409","patient4","Tcell"
"cell_410","patient4","Tcell"
"cell_411","patient4","Tcell"
"cell_412","patient4","Tcell"
"cell_413","patient4","Tcell"
"cell_414","patient4","Tcell"
"cell_415","patient4","malignant"
"cell_416","patient4","Tcell"
"cell_417","patient4","Tcell"
"cell_418","patient4","Tcell"
"cell_419","patient5","malignant"
"cell_420","patient5","malignant"
"cell_421","patient5","Tcell"
"cell_422","patient5","malignant"
"cell_423","patient5","Tcell"
"cell_424","patient5","malignant"
"cell_425","patient5","Tcell"
"cell_426","patient5","Tcell"
"cell_427","patient5","malignant"
"cell_428","patient5","malignant"
"cell_429","patient5","malignant"
"cell_430","patient5","Tcell"
"cell_431","patient5","malignant"
"cell_432","patient5","malignant"
"cell_433","patient5","malignant"
"cell_434","patient5","malignant"
"cell_435","patient5","malignant"
"cell_436","patient5","malignant"
"cell_437","patient5","malignant"
"cell_438","patient5","Tcell"
"cell_439","patient5","malignant"
"cell_440","patient5","malignant"
"cell_441","patient5","malignant"
"cell_442","patient5","malignant"
"cell_443","patient5","malignant"
"cell_444","patient5","Tcell"
"cell_445","patient5","malignant"
"cell_446","patient5","Tcell"
"cell_447","patient5","malignant"
"cell_448","patient5","malignant"
"cell_449","patient5","malignant"
"cell_450","patient5","malignant"
"cell_451","patient5","malignant"
"cell_452","patient5","Tcell"
"cell_453","patient5","malignant"
"cell_454","patient5","malignant"
"cell_455","patient5","Tcell"
"cell_456","patient5","malignant"
"cell_457","patient5","malignant"
"cell_458","patient5","Tcell"
"cell_459","patient5","Tcell"
"cell_460","patient5","malignant"
"cell_461","patient5","malignant"
"cell_462","patient5","malignant"
"cell_463","patient5","malignant"
"cell_464","patient5","malignant"
"cell_465","patient5","malignant"
"cell_466","patient5","Tcell"
"cell_467","patient5","malignant"
"cell_468","patient5","malignant"
"cell_469","patient5","Tcell"
"cell_470","patient5","malignant"
"cell_471","patient5","Tcell"
"cell_472","patient5","Tcell"
"cell_473","patient5","malignant"
"cell_474","patient5","Tcell"
"cell_475","patient5","malignant"
"cell_476","patient5","malignant"
"cell_477","patient5","malignant"
"cell_478","patient5","malignant"
"cell_479","patient5","malignant"
"cell_480","patient5","malignant"
"cell_481","patient5","Tcell"
"cell_482","patient5","Macro"
"cell_483","patient5","Tcell"
"cell_484","patient5","malignant"
"cell_485","patient5","malignant"
"cell_486","patient5","malignant"
"cell_487","patient5","malignant"
"cell_488","patient5","malignant"
"cell_489","patient5","malignant"
"cell_490","patient5","malignant"
"cell_491","patient5","malignant"
"cell_492","patient5","malignant"
"cell_493","patient5","malignant"
"cell_494","patient5","malignant"
"cell_495","patient5","malignant"
"cell_496","patient5","Tcell"
"cell_497","patient5","Macro"
"cell_498","patient5","malignant"
"cell_499","patient5","malignant"
"cell_500","patient5","malignant"
"cell_501","patient5","Tcell"
"cell_502","patient5","malignant"
"cell_503","patient5","Tcell"
"cell_504","patient5","Tcell"
"cell_505","patient5","malignant"
"cell_506","patient5","malignant"
"cell_507","patient5","malignant"
"cell_508","patient6","Bcell"
"cell_509","patient6","Tcell"
"cell_510","patient6","Tcell"
"cell_511","patient6","Tcell"
"cell_512","patient6","Tcell"
"cell_513","patient6","malignant"
"cell_514","patient6","Bcell"
"cell_515","patient6","Tcell"
"cell_516","patient6","Tcell"
"cell_517","patient6","malignant"
"cell_518","patient6","Tcell"
"cell_519","patient6","Bcell"
"cell_520","patient6","Tcell"
"cell_521","patient6","Tcell"
"cell_522","patient6","malignant"
"cell_523","patient6","malignant"
"cell_524","patient6","Tcell"
"cell_525","patient6","Tcell"
"cell_526","patient6","malignant"
"cell_527","patient6","Tcell"
"cell_528","patient6","Tcell"
"cell_529","patient6","Bcell"
"cell_530","patient6","Tcell"
"cell_531","patient6","Tcell"
"cell_532","patient6","Tcell"
"cell_533","patient6","malignant"
"cell_534","patient6","Tcell"
"cell_535","patient6","malignant"
"cell_536","patient6","Tcell"
"cell_537","patient6","Bcell"
"cell_538","patient6","Tcell"
"cell_539","patient6","malignant"
"cell_540","patient6","malignant"
"cell_541","patient6","Bcell"
"cell_542","patient6","Tcell"
"cell_543","patient6","Bcell"
"cell_544","patient6","Bcell"
"cell_545","patient6","Tcell"
"cell_546","patient6","Bcell"
"cell_547","patient6","Tcell"
"cell_548","patient6","Tcell"
"cell_549","patient6","Tcell"
"cell_550","patient6","Tcell"
