"sampleID","cell_type"
"cell_891","patient7","Tcell"
"cell_892","patient7","Tcell"
"cell_893","patient7","Tcell"
"cell_894","patient7","Tcell"
"cell_895","patient7","Tcell"
"cell_896","patient7","Tcell"
"cell_897","patient7","Tcell"
"cell_898","patient7","Tcell"
"cell_899","patient7","Tcell"
"cell_900","patient7","Tcell"
"cell_901","patient7","Tcell"
"cell_902","patient7","Tcell"
"cell_903","patient7","Tcell"
"cell_904","patient7","Tcell"
"cell_905","patient7","Tcell"
"cell_906","patient7","Tcell"
"cell_907","patient7","Tcell"
"cell_908","patient7","Tcell"
"cell_909","patient7","Tcell"
"cell_910","patient7","Tcell"
"cell_911","patient7","Tcell"
"cell_912","patient7","Tcell"
"cell_913","patient7","Tcell"
"cell_914","patient7","Tcell"
"cell_915","patient7","Tcell"
"cell_916","patient7","Tcell"
"cell_917","patient7","Tcell"
"cell_918","patient7","Tcell"
"cell_919","patient7","Tcell"
"cell_920","patient7","Tcell"
"cell_921","patient7","Tcell"
"cell_922","patient7","Tcell"
"cell_923","patient7","Tcell"
"cell_924","patient7","Tcell"
"cell_925","patient7","Tcell"
"cell_926","patient7","Tcell"
"cell_927","patient7","Tcell"
"cell_928","patient7","Tcell"
"cell_929","patient7","Tcell"
"cell_930","patient7","Tcell"
"cell_931","patient7","Tcell"
"cell_932","patient7","Tcell"
"cell_933","patient7","Tcell"
"cell_934","patient7","Tcell"
"cell_935","patient7","Tcell"
"cell_936","patient7","Tcell"
"cell_937","patient7","Tcell"
"cell_938","patient7","Tcell"
"cell_939","patient7","Tcell"
"cell_940","patient7","Tcell"
"cell_941","patient7","Tcell"
"cell_942","patient7","Tcell"
"cell_943","patient7","Tcell"
"cell_944","patient7","Tcell"
"cell_945","patient7","Tcell"
"cell_946","patient7","Tcell"
"cell_947","patient7","Tcell"
"cell_948","patient7","Tcell"
"cell_949","patient7","Tcell"
"cell_950","patient7","Tcell"
"cell_951","patient7","Tcell"
"cell_952","patient7","Tcell"
"cell_953","patient7","Tcell"
"cell_954","patient7","Tcell"
"cell_955","patient7","Tcell"
"cell_956","patient7","Tcell"
"cell_957","patient7","Tcell"
"cell_958","patient7","Tcell"
"cell_959","patient7","Tcell"
"cell_960","patient7","Tcell"
"cell_961","patient7","Tcell"
"cell_962","patient7","Tcell"
"cell_963","patient7","Tcell"
"cell_964","patient7","Tcell"
"cell_965","patient7","Tcell"
"cell_966","patient7","Tcell"
"cell_967","patient7","Tcell"
"cell_968","patient7","Tcell"
"cell_969","patient7","Tcell"
"cell_970","patient7","Tcell"
"cell_971","patient7","Tcell"
"cell_972","patient7","Tcell"
"cell_973","patient7","Tcell"
"cell_974","patient7","Tcell"
"cell_975","patient7","Tcell"
"cell_976","patient7","Tcell"
"cell_977","patient7","Tcell"
"cell_978","patient7","Tcell"
"cell_979","patient7","Tcell"
"cell_980","patient7","Tcell"
"cell_981","patient7","Tcell"
"cell_982","patient7","Tcell"
"cell_983","patient7","Tcell"
"cell_984","patient7","Tcell"
"cell_985","patient7","Tcell"
"cell_986","patient7","Tcell"
"cell_987","patient7","Tcell"
"cell_988","patient7","Tcell"
"cell_989","patient7","Tcell"
"cell_990","patient7","Tcell"
"cell_991","patient7","Tcell"
"cell_992","patient7","Tcell"
"cell_993","patient7","Tcell"
"cell_994","patient7","Tcell"
"cell_995","patient7","Tcell"
"cell_996","patient7","Tcell"
"cell_997","patient7","Tcell"
"cell_998","patient7","Tcell"
"cell_999","patient7","Tcell"
"cell_1000","patient7","Tcell"
"cell_1001","patient7","Tcell"
"cell_1002","patient7","Tcell"
"cell_1003","patient7","Tcell"
"cell_1004","patient7","Tcell"
"cell_1005","patient7","Tcell"
"cell_1006","patient7","Tcell"
"cell_1007","patient7","Tcell"
"cell_1008","patient7","Tcell"
"cell_1009","patient7","Tcell"
"cell_1010","patient7","Tcell"
"cell_1011","patient7","Tcell"
"cell_1012","patient7","Tcell"
"cell_1013","patient7","Tcell"
"cell_1014","patient7","Tcell"
"cell_1015","patient7","Tcell"
"cell_1016","patient7","Tcell"
"cell_1017","patient7","Tcell"
"cell_1018","patient7","Tcell"
"cell_1019","patient7","Tcell"
"cell_1020","patient7","Tcell"
"cell_1021","patient7","Tcell"
"cell_1022","patient7","Tcell"
"cell_1023","patient7","Tcell"
"cell_1024","patient7","Tcell"
"cell_1025","patient7","Tcell"
"cell_1026","patient7","Tcell"
"cell_1027","patient7","Tcell"
"cell_1028","patient7","Tcell"
"cell_1029","patient7","Tcell"
"cell_1030","patient7","Tcell"
"cell_1031","patient7","Tcell"
"cell_1032","patient7","malignant"
"cell_1033","patient8","malignant"
"cell_1034","patient8","malignant"
"cell_1035","patient8","malignant"
"cell_1036","patient8","malignant"
"cell_1037","patient8","malignant"
"cell_1038","patient8","malignant"
"cell_1039","patient8","malignant"
"cell_1040","patient8","malignant"
"cell_1041","patient8","malignant"
"cell_1042","patient8","malignant"
"cell_1043","patient8","malignant"
"cell_1044","patient8","malignant"
"cell_1045","patient8","malignant"
"cell_1046","patient8","malignant"
"cell_1047","patient8","malignant"
"cell_1048","patient8","malignant"
"cell_1049","patient8","malignant"
"cell_1050","patient8","malignant"
"cell_1051","patient8","malignant"
"cell_1052","patient8","malignant"
"cell_1053","patient8","malignant"
"cell_1054","patient8","malignant"
"cell_1055","patient8","malignant"
"cell_1056","patient8","malignant"
"cell_1057","patient8","malignant"
"cell_1058","patient8","malignant"
"cell_1059","patient8","malignant"
"cell_1060","patient8","malignant"
"cell_1061","patient8","malignant"
"cell_1062","patient8","malignant"
"cell_1063","patient8","malignant"
"cell_1064","patient8","malignant"
"cell_1065","patient8","malignant"
"cell_1066","patient8","malignant"
"cell_1067","patient8","malignant"
"cell_1068","patient8","malignant"
"cell_1069","patient8","malignant"
"cell_1070","patient8","malignant"
"cell_1071","patient8","malignant"
"cell_1072","patient8","malignant"
"cell_1073","patient8","malignant"
"cell_1074","patient8","malignant"
"cell_1075","patient8","malignant"
"cell_1076","patient8","malignant"
"cell_1077","patient8","malignant"
"cell_1078","patient8","malignant"
"cell_1079","patient8","malignant"
"cell_1080","patient8","malignant"
"cell_1081","patient8","malignant"
"cell_1082","patient8","malignant"
"cell_1083","patient8","malignant"
"cell_1084","patient8","malignant"
"cell_1085","patient8","malignant"
"cell_1086","patient8","malignant"
"cell_1087","patient8","Tcell"
"cell_1088","patient8","malignant"
"cell_1089","patient8","malignant"
"cell_1090","patient8","malignant"
"cell_1091","patient8","malignant"
"cell_1092","patient8","malignant"
"cell_1093","patient8","malignant"
"cell_1094","patient8","malignant"
"cell_1095","patient8","malignant"
"cell_1096","patient8","malignant"
"cell_1097","patient8","malignant"
"cell_1098","patient8","malignant"
"cell_1099","patient8","malignant"
"cell_1100","patient8","malignant"
"cell_1101","patient8","malignant"
"cell_1102","patient8","malignant"
"cell_1103","patient8","malignant"
"cell_1104","patient8","malignant"
"cell_1105","patient8","malignant"
"cell_1106","patient8","malignant"
"cell_1107","patient8","malignant"
"cell_1108","patient8","malignant"
"cell_1109","patient8","malignant"
"cell_1110","patient8","CAF"
"cell_1111","patient8","malignant"
"cell_1112","patient8","malignant"
"cell_1113","patient8","malignant"
"cell_1114","patient8","malignant"
"cell_1115","patient8","malignant"
"cell_1116","patient8","malignant"
"cell_1117","patient8","malignant"
"cell_1118","patient8","malignant"
"cell_1119","patient8","malignant"
"cell_1120","patient8","malignant"
"cell_1121","patient8","malignant"
"cell_1122","patient8","malignant"
"cell_1123","patient8","malignant"
"cell_1124","patient8","malignant"
"cell_1125","patient8","malignant"
"cell_1126","patient8","malignant"
"cell_1127","patient8","malignant"
"cell_1128","patient8","malignant"
"cell_1129","patient8","malignant"
"cell_1130","patient8","malignant"
"cell_1131","patient8","malignant"
"cell_1132","patient8","malignant"
"cell_1133","patient8","malignant"
"cell_1134","patient8","malignant"
"cell_1135","patient8","malignant"
"cell_1136","patient8","Bcell"
"cell_1137","patient8","malignant"
"cell_1138","patient8","malignant"
"cell_1139","patient8","malignant"
"cell_1140","patient8","malignant"
"cell_1141","patient8","malignant"
"cell_1142","patient8","malignant"
"cell_1143","patient8","malignant"
"cell_1144","patient8","malignant"
"cell_1145","patient8","malignant"
"cell_1146","patient8","malignant"
"cell_1147","patient8","malignant"
"cell_1148","patient8","malignant"
"cell_1149","patient8","malignant"
"cell_1150","patient8","malignant"
"cell_1151","patient8","malignant"
"cell_1152","patient8","malignant"
"cell_1153","patient8","malignant"
"cell_1154","patient8","malignant"
"cell_1155","patient8","malignant"
"cell_1156","patient8","malignant"
"cell_1157","patient8","malignant"
"cell_1158","patient8","malignant"
"cell_1159","patient8","malignant"
"cell_1160","patient8","malignant"
"cell_1161","patient8","malignant"
"cell_1162","patient8","malignant"
"cell_1163","patient8","malignant"
"cell_1164","patient9","malignant"
"cell_1165","patient9","malignant"
"cell_1166","patient9","malignant"
"cell_1167","patient9","malignant"
"cell_1168","patient9","malignant"
"cell_1169","patient9","malignant"
"cell_1170","patient9","malignant"
"cell_1171","patient9","CAF"
"cell_1172","patient9","malignant"
"cell_1173","patient9","malignant"
"cell_1174","patient9","malignant"
"cell_1175","patient9","malignant"
"cell_1176","patient9","malignant"
"cell_1177","patient9","malignant"
"cell_1178","patient9","malignant"
"cell_1179","patient9","malignant"
"cell_1180","patient9","malignant"
"cell_1181","patient9","malignant"
"cell_1182","patient9","malignant"
"cell_1183","patient9","malignant"
"cell_1184","patient9","Endo"
"cell_1185","patient9","malignant"
"cell_1186","patient9","malignant"
"cell_1187","patient9","Endo"
"cell_1188","patient9","Endo"
"cell_1189","patient9","malignant"
"cell_1190","patient9","malignant"
"cell_1191","patient9","malignant"
"cell_1192","patient9","malignant"
"cell_1193","patient9","malignant"
"cell_1194","patient9","Endo"
"cell_1195","patient9","Endo"
"cell_1196","patient9","malignant"
"cell_1197","patient9","malignant"
"cell_1198","patient9","malignant"
"cell_1199","patient9","Endo"
"cell_1200","patient9","malignant"
"cell_1201","patient9","malignant"
"cell_1202","patient9","malignant"
"cell_1203","patient9","malignant"
"cell_1204","patient9","malignant"
"cell_1205","patient9","malignant"
"cell_1206","patient9","malignant"
"cell_1207","patient9","CAF"
"cell_1208","patient9","malignant"
"cell_1209","patient9","malignant"
"cell_1210","patient9","malignant"
"cell_1211","patient9","Endo"
"cell_1212","patient9","malignant"
"cell_1213","patient9","Tcell"
"cell_1214","patient9","Bcell"
"cell_1215","patient9","Bcell"
"cell_1216","patient9","Bcell"
"cell_1217","patient9","Bcell"
"cell_1218","patient9","Bcell"
"cell_1219","patient9","Tcell"
"cell_1220","patient9","Tcell"
"cell_1221","patient9","Tcell"
"cell_1222","patient9","Tcell"
"cell_1223","patient9","malignant"
"cell_1224","patient9","Tcell"
"cell_1225","patient9","Tcell"
"cell_1226","patient9","Bcell"
"cell_1227","patient9","Tcell"
"cell_1228","patient9","malignant"
"cell_1229","patient9","Bcell"
"cell_1230","patient9","Tcell"
"cell_1231","patient9","Tcell"
"cell_1232","patient9","Tcell"
"cell_1233","patient9","Tcell"
"cell_1234","patient9","Tcell"
"cell_1235","patient9","Tcell"
"cell_1236","patient9","Tcell"
"cell_1237","patient9","Tcell"
"cell_1238","patient9","Tcell"
"cell_1239","patient9","Tcell"
"cell_1240","patient9","Tcell"
"cell_1241","patient9","Tcell"
"cell_1242","patient9","Tcell"
"cell_1243","patient9","Tcell"
"cell_1244","patient9","Tcell"
"cell_1245","patient9","Bcell"
"cell_1246","patient9","Bcell"
"cell_1247","patient9","Tcell"
"cell_1248","patient9","Tcell"
"cell_1249","patient9","Bcell"
"cell_1250","patient9","Tcell"
"cell_1251","patient9","malignant"
"cell_1252","patient9","Tcell"
"cell_1253","patient9","Bcell"
"cell_1254","patient9","Tcell"
"cell_1255","patient9","Tcell"
"cell_1256","patient9","Bcell"
"cell_1257","patient9","Bcell"
"cell_1258","patient9","Tcell"
"cell_1259","patient9","Tcell"
"cell_1260","patient9","Bcell"
"cell_1261","patient9","Tcell"
"cell_1262","patient9","Bcell"
"cell_1263","patient9","Tcell"
"cell_1264","patient9","Bcell"
"cell_1265","patient9","Tcell"
"cell_1266","patient9","Tcell"
"cell_1267","patient9","malignant"
"cell_1268","patient9","Tcell"
"cell_1269","patient9","Tcell"
"cell_1270","patient9","Tcell"
"cell_1271","patient9","malignant"
"cell_1272","patient9","Tcell"
"cell_1273","patient9","Bcell"
"cell_1274","patient9","Tcell"
"cell_1275","patient9","Tcell"
"cell_1276","patient9","Bcell"
"cell_1277","patient9","Tcell"
"cell_1278","patient9","Tcell"
"cell_1279","patient9","Bcell"
"cell_1280","patient9","Bcell"
"cell_1281","patient9","Bcell"
"cell_1282","patient9","Bcell"
"cell_1283","patient9","Tcell"
"cell_1284","patient9","malignant"
"cell_1285","patient9","Tcell"
"cell_1286","patient9","Bcell"
"cell_1287","patient9","Tcell"
"cell_1288","patient9","Tcell"
"cell_1289","patient9","Tcell"
"cell_1290","patient9","Tcell"
"cell_1291","patient9","Tcell"
"cell_1292","patient9","Tcell"
"cell_1293","patient9","Bcell"
"cell_1294","patient9","Tcell"
"cell_1295","patient9","Tcell"
"cell_1296","patient9","Bcell"
"cell_1297","patient9","Bcell"
"cell_1298","patient9","Bcell"
"cell_1299","patient9","Bcell"
"cell_1300","patient9","malignant"
"cell_1301","patient9","Tcell"
"cell_1302","patient9","Bcell"
"cell_1303","patient9","Bcell"
"cell_1304","patient9","Tcell"
"cell_1305","patient9","Bcell"
"cell_1306","patient9","Bcell"
"cell_1307","patient9","Tcell"
"cell_1308","patient9","Tcell"
"cell_1309","patient9","Bcell"
"cell_1310","patient9","Tcell"
"cell_1311","patient9","Bcell"
"cell_1312","patient9","Tcell"
"cell_1313","patient9","Tcell"
"cell_1314","patient9","Tcell"
"cell_1315","patient9","Tcell"
"cell_1316","patient9","Tcell"
"cell_1317","patient9","Tcell"
"cell_1318","patient9","Tcell"
"cell_1319","patient9","Tcell"
"cell_1320","patient9","malignant"
"cell_1321","patient9","Tcell"
"cell_1322","patient9","Tcell"
"cell_1323","patient9","Tcell"
"cell_1324","patient9","Tcell"
"cell_1325","patient9","Tcell"
"cell_1326","patient9","Tcell"
"cell_1327","patient9","Tcell"
"cell_1328","patient9","Tcell"
"cell_1329","patient9","Tcell"
"cell_1330","patient9","Tcell"
"cell_1331","patient9","Tcell"
"cell_1332","patient9","Tcell"
"cell_1333","patient9","NK"
"cell_1334","patient9","Tcell"
"cell_1335","patient9","Tcell"
"cell_1336","patient9","Tcell"
"cell_1337","patient9","Tcell"
"cell_1338","patient9","Tcell"
"cell_1339","patient9","Tcell"
"cell_1340","patient9","Bcell"
"cell_1341","patient9","Tcell"
"cell_1342","patient9","Tcell"
"cell_1343","patient9","Tcell"
"cell_1344","patient9","Tcell"
"cell_1345","patient9","Tcell"
"cell_1346","patient9","Bcell"
"cell_1347","patient9","Tcell"
"cell_1348","patient9","Tcell"
"cell_1349","patient9","Bcell"
"cell_1350","patient9","Bcell"
"cell_1351","patient9","Tcell"
"cell_1352","patient9","Tcell"
"cell_1353","patient9","Tcell"
"cell_1354","patient9","Tcell"
"cell_1355","patient9","Tcell"
"cell_1356","patient9","Bcell"
"cell_1357","patient9","Tcell"
"cell_1358","patient9","malignant"
"cell_1359","patient9","Tcell"
"cell_1360","patient9","Bcell"
"cell_1361","patient9","Tcell"
"cell_1362","patient9","Tcell"
"cell_1363","patient9","Tcell"
"cell_1364","patient9","Tcell"
"cell_1365","patient9","Tcell"
"cell_1366","patient9","Tcell"
"cell_1367","patient9","Tcell"
"cell_1368","patient9","Bcell"
"cell_1369","patient9","malignant"
"cell_1370","patient9","Endo"
"cell_1371","patient9","malignant"
"cell_1372","patient9","malignant"
"cell_1373","patient9","malignant"
"cell_1374","patient9","malignant"
"cell_1375","patient9","malignant"
"cell_1376","patient9","malignant"
"cell_1377","patient9","Endo"
"cell_1378","patient9","malignant"
"cell_1379","patient9","CAF"
"cell_1380","patient9","malignant"
"cell_1381","patient9","malignant"
"cell_1382","patient9","Endo"
"cell_1383","patient9","malignant"
"cell_1384","patient9","malignant"
"cell_1385","patient9","malignant"
"cell_1386","patient9","Endo"
"cell_1387","patient9","malignant"
"cell_1388","patient9","malignant"
"cell_1389","patient9","malignant"
"cell_1390","patient9","malignant"
"cell_1391","patient9","malignant"
"cell_1392","patient9","malignant"
"cell_1393","patient9","malignant"
"cell_1394","patient9","Endo"
"cell_1395","patient9","Endo"
"cell_1396","patient9","malignant"
"cell_1397","patient9","malignant"
"cell_1398","patient9","malignant"
"cell_1399","patient9","Endo"
"cell_1400","patient9","malignant"
"cell_1401","patient9","malignant"
"cell_1402","patient9","malignant"
"cell_1403","patient9","malignant"
"cell_1404","patient9","malignant"
"cell_1405","patient9","Bcell"
"cell_1406","patient9","Endo"
"cell_1407","patient9","malignant"
"cell_1408","patient9","malignant"
"cell_1409","patient9","malignant"
"cell_1410","patient9","malignant"
"cell_1411","patient9","malignant"
"cell_1412","patient9","malignant"
"cell_1413","patient9","malignant"
"cell_1414","patient9","malignant"
"cell_1415","patient9","malignant"
"cell_1416","patient9","malignant"
"cell_1417","patient9","malignant"
"cell_1418","patient9","malignant"
"cell_1419","patient9","Endo"
"cell_1420","patient9","malignant"
"cell_1421","patient9","malignant"
"cell_1422","patient9","malignant"
"cell_1423","patient9","malignant"
"cell_1424","patient9","malignant"
"cell_1425","patient9","malignant"
"cell_1426","patient9","malignant"
"cell_1427","patient9","Endo"
"cell_1428","patient9","malignant"
"cell_1429","patient9","malignant"
"cell_1430","patient9","malignant"
"cell_1431","patient9","Endo"
"cell_1432","patient9","Endo"
"cell_1433","patient9","malignant"
"cell_1434","patient9","malignant"
"cell_1435","patient9","Tcell"
"cell_1436","patient9","Tcell"
"cell_1437","patient9","Tcell"
"cell_1438","patient9","Tcell"
"cell_1439","patient9","Tcell"
"cell_1440","patient9","Tcell"
"cell_1441","patient9","Tcell"
"cell_1442","patient9","Tcell"
"cell_1443","patient9","Tcell"
"cell_1444","patient9","Tcell"
"cell_1445","patient9","malignant"
"cell_1446","patient9","Tcell"
"cell_1447","patient9","Tcell"
"cell_1448","patient9","Tcell"
"cell_1449","patient9","Bcell"
"cell_1450","patient9","Tcell"
"cell_1451","patient9","Tcell"
"cell_1452","patient9","Tcell"
"cell_1453","patient9","Tcell"
"cell_1454","patient9","Tcell"
"cell_1455","patient9","malignant"
"cell_1456","patient9","Bcell"
"cell_1457","patient9","Tcell"
"cell_1458","patient9","Tcell"
"cell_1459","patient9","Tcell"
"cell_1460","patient9","Tcell"
"cell_1461","patient9","NK"
"cell_1462","patient9","malignant"
"cell_1463","patient9","Tcell"
"cell_1464","patient9","Tcell"
"cell_1465","patient9","Tcell"
"cell_1466","patient9","Tcell"
"cell_1467","patient9","Tcell"
"cell_1468","patient9","Tcell"
"cell_1469","patient9","Tcell"
"cell_1470","patient9","Tcell"
"cell_1471","patient9","Tcell"
"cell_1472","patient9","Tcell"
"cell_1473","patient9","Tcell"
"cell_1474","patient9","Tcell"
"cell_1475","patient9","Bcell"
"cell_1476","patient9","Tcell"
"cell_1477","patient9","Tcell"
"cell_1478","patient9","Tcell"
"cell_1479","patient9","Tcell"
"cell_1480","patient9","malignant"
"cell_1481","patient9","Tcell"
"cell_1482","patient9","Tcell"
"cell_1483","patient9","Tcell"
"cell_1484","patient9","Tcell"
"cell_1485","patient9","Tcell"
"cell_1486","patient9","Tcell"
"cell_1487","patient9","Tcell"
"cell_1488","patient9","Tcell"
"cell_1489","patient9","Tcell"
"cell_1490","patient9","Tcell"
"cell_1491","patient9","Tcell"
"cell_1492","patient9","Tcell"
"cell_1493","patient9","Tcell"
"cell_1494","patient9","Tcell"
"cell_1495","patient9","Tcell"
"cell_1496","patient9","Tcell"
"cell_1497","patient9","Tcell"
"cell_1498","patient9","Tcell"
"cell_1499","patient9","Tcell"
"cell_1500","patient9","Tcell"
"cell_1501","patient9","Tcell"
"cell_1502","patient9","Tcell"
"cell_1503","patient9","Tcell"
"cell_1504","patient9","Tcell"
"cell_1505","patient9","malignant"
"cell_1506","patient9","Tcell"
"cell_1507","patient9","Tcell"
"cell_1508","patient9","Tcell"
"cell_1509","patient9","Tcell"
"cell_1510","patient9","Tcell"
"cell_1511","patient9","malignant"
"cell_1512","patient9","Endo"
"cell_1513","patient9","CAF"
"cell_1514","patient9","malignant"
"cell_1515","patient9","malignant"
"cell_1516","patient9","malignant"
"cell_1517","patient9","malignant"
"cell_1518","patient9","malignant"
"cell_1519","patient9","malignant"
"cell_1520","patient9","malignant"
"cell_1521","patient9","Endo"
"cell_1522","patient9","Endo"
"cell_1523","patient9","malignant"
"cell_1524","patient9","malignant"
"cell_1525","patient9","malignant"
"cell_1526","patient9","Endo"
"cell_1527","patient9","Endo"
"cell_1528","patient9","malignant"
"cell_1529","patient9","malignant"
"cell_1530","patient9","CAF"
"cell_1531","patient9","malignant"
"cell_1532","patient9","malignant"
"cell_1533","patient9","malignant"
"cell_1534","patient9","malignant"
"cell_1535","patient9","malignant"
"cell_1536","patient9","malignant"
"cell_1537","patient9","malignant"
"cell_1538","patient9","malignant"
"cell_1539","patient9","Endo"
"cell_1540","patient9","malignant"
"cell_1541","patient9","malignant"
"cell_1542","patient9","malignant"
"cell_1543","patient9","Endo"
"cell_1544","patient9","malignant"
"cell_1545","patient9","Endo"
"cell_1546","patient9","Endo"
"cell_1547","patient9","malignant"
"cell_1548","patient9","malignant"
"cell_1549","patient9","malignant"
"cell_1550","patient9","malignant"
"cell_1551","patient9","malignant"
"cell_1552","patient9","Endo"
"cell_1553","patient9","malignant"
"cell_1554","patient9","malignant"
"cell_1555","patient9","malignant"
"cell_1556","patient9","malignant"
"cell_1557","patient9","malignant"
"cell_1558","patient9","malignant"
"cell_1559","patient9","malignant"
"cell_1560","patient9","malignant"
"cell_1561","patient9","Tcell"
"cell_1562","patient9","Tcell"
"cell_1563","patient9","Tcell"
"cell_1564","patient9","Tcell"
"cell_1565","patient9","Tcell"
"cell_1566","patient9","Tcell"
"cell_1567","patient9","Tcell"
"cell_1568","patient9","Tcell"
"cell_1569","patient9","Tcell"
"cell_1570","patient9","Tcell"
"cell_1571","patient9","Tcell"
"cell_1572","patient9","Tcell"
"cell_1573","patient9","malignant"
"cell_1574","patient9","malignant"
"cell_1575","patient9","malignant"
"cell_1576","patient9","Tcell"
"cell_1577","patient9","malignant"
"cell_1578","patient9","Tcell"
"cell_1579","patient9","Tcell"
"cell_1580","patient9","malignant"
"cell_1581","patient9","Tcell"
"cell_1582","patient9","Tcell"
"cell_1583","patient9","malignant"
"cell_1584","patient9","Tcell"
"cell_1585","patient9","malignant"
"cell_1586","patient9","Bcell"
"cell_1587","patient9","Tcell"
"cell_1588","patient9","NK"
"cell_1589","patient9","NK"
"cell_1590","patient9","Tcell"
"cell_1591","patient9","Bcell"
"cell_1592","patient9","Tcell"
"cell_1593","patient9","Tcell"
"cell_1594","patient9","Tcell"
"cell_1595","patient9","Tcell"
"cell_1596","patient9","malignant"
"cell_1597","patient9","Tcell"
"cell_1598","patient9","Tcell"
"cell_1599","patient9","Bcell"
"cell_1600","patient9","Tcell"
"cell_1601","patient9","Tcell"
"cell_1602","patient9","malignant"
"cell_1603","patient9","Tcell"
"cell_1604","patient9","Bcell"
"cell_1605","patient9","Tcell"
"cell_1606","patient9","Tcell"
"cell_1607","patient9","Tcell"
"cell_1608","patient9","Tcell"
"cell_1609","patient9","malignant"
"cell_1610","patient9","malignant"
"cell_1611","patient9","Tcell"
"cell_1612","patient9","Tcell"
"cell_1613","patient9","Tcell"
"cell_1614","patient9","Tcell"
"cell_1615","patient9","Tcell"
"cell_1616","patient9","Tcell"
"cell_1617","patient9","Tcell"
"cell_1618","patient9","CAF"
"cell_1619","patient9","CAF"
"cell_1620","patient9","CAF"
"cell_1621","patient9","CAF"
"cell_1622","patient9","CAF"
"cell_1623","patient9","CAF"
"cell_1624","patient9","malignant"
"cell_1625","patient9","CAF"
"cell_1626","patient9","CAF"
"cell_1627","patient9","malignant"
"cell_1628","patient9","CAF"
"cell_1629","patient9","CAF"
"cell_1630","patient9","CAF"
"cell_1631","patient9","CAF"
"cell_1632","patient9","malignant"
"cell_1633","patient9","malignant"
"cell_1634","patient9","CAF"
"cell_1635","patient9","malignant"
"cell_1636","patient9","CAF"
"cell_1637","patient9","CAF"
"cell_1638","patient9","malignant"
"cell_1639","patient9","CAF"
"cell_1640","patient9","CAF"
"cell_1641","patient9","malignant"
"cell_1642","patient9","malignant"
"cell_1643","patient9","CAF"
"cell_1644","patient10","malignant"
"cell_1645","patient10","malignant"
"cell_1646","patient10","malignant"
"cell_1647","patient10","malignant"
"cell_1648","patient10","malignant"
"cell_1649","patient10","malignant"
"cell_1650","patient10","Tcell"
"cell_1651","patient10","malignant"
"cell_1652","patient10","malignant"
"cell_1653","patient10","malignant"
"cell_1654","patient10","Tcell"
"cell_1655","patient10","Tcell"
"cell_1656","patient10","malignant"
"cell_1657","patient10","malignant"
"cell_1658","patient10","Tcell"
"cell_1659","patient10","malignant"
"cell_1660","patient10","malignant"
"cell_1661","patient10","Tcell"
"cell_1662","patient10","Tcell"
"cell_1663","patient10","malignant"
"cell_1664","patient10","malignant"
"cell_1665","patient10","malignant"
"cell_1666","patient10","Tcell"
"cell_1667","patient10","malignant"
"cell_1668","patient10","malignant"
"cell_1669","patient10","malignant"
"cell_1670","patient10","Tcell"
"cell_1671","patient10","Tcell"
"cell_1672","patient10","Tcell"
"cell_1673","patient10","Tcell"
"cell_1674","patient10","Tcell"
"cell_1675","patient10","Tcell"
"cell_1676","patient10","malignant"
"cell_1677","patient10","Tcell"
"cell_1678","patient10","malignant"
"cell_1679","patient10","malignant"
"cell_1680","patient10","malignant"
"cell_1681","patient10","Tcell"
"cell_1682","patient10","malignant"
"cell_1683","patient10","malignant"
"cell_1684","patient10","malignant"
"cell_1685","patient10","malignant"
"cell_1686","patient10","Tcell"
"cell_1687","patient10","Tcell"
"cell_1688","patient10","malignant"
"cell_1689","patient10","malignant"
"cell_1690","patient10","Tcell"
"cell_1691","patient10","malignant"
"cell_1692","patient10","malignant"
"cell_1693","patient10","malignant"
"cell_1694","patient10","malignant"
"cell_1695","patient10","malignant"
"cell_1696","patient10","malignant"
"cell_1697","patient10","Tcell"
"cell_1698","patient10","malignant"
"cell_1699","patient10","malignant"
"cell_1700","patient10","Tcell"
"cell_1701","patient10","Bcell"
"cell_1702","patient10","Tcell"
"cell_1703","patient10","malignant"
"cell_1704","patient10","malignant"
"cell_1705","patient10","Tcell"
"cell_1706","patient10","Bcell"
"cell_1707","patient10","Tcell"
"cell_1708","patient10","malignant"
"cell_1709","patient10","Tcell"
"cell_1710","patient10","Tcell"
"cell_1711","patient10","malignant"
"cell_1712","patient10","malignant"
"cell_1713","patient10","malignant"
"cell_1714","patient10","Tcell"
"cell_1715","patient10","malignant"
"cell_1716","patient10","Tcell"
"cell_1717","patient10","malignant"
"cell_1718","patient10","Tcell"
"cell_1719","patient10","Tcell"
"cell_1720","patient10","Tcell"
"cell_1721","patient10","malignant"
"cell_1722","patient10","malignant"
"cell_1723","patient10","malignant"
"cell_1724","patient10","Tcell"
"cell_1725","patient10","malignant"
"cell_1726","patient10","malignant"
"cell_1727","patient10","malignant"
"cell_1728","patient10","malignant"
"cell_1729","patient10","malignant"
"cell_1730","patient10","Tcell"
"cell_1731","patient10","Tcell"
"cell_1732","patient10","malignant"
"cell_1733","patient10","malignant"
"cell_1734","patient10","Tcell"
"cell_1735","patient10","malignant"
"cell_1736","patient10","Bcell"
"cell_1737","patient10","malignant"
"cell_1738","patient10","malignant"
"cell_1739","patient10","malignant"
"cell_1740","patient10","malignant"
"cell_1741","patient10","malignant"
"cell_1742","patient10","malignant"
"cell_1743","patient10","Tcell"
